1|48164|227657468533464|421|deposit|Ee0LBHjzD1zwq1vdg59|27/08/2011
2|11913|493221494332162|19|atm|peCahG8SguMncr1nWUc|27/06/2016
3|69990|534635877355416|484|withdrawal|DotfVrUGOJ1bVXA8GTo|31/03/2015
4|46632|286495993777669|116|charge|pvCHRJpfxjjRyTRowKF|09/08/2016
5|53756|964523871258158|294|atm|sx2oCALBFvYmcgy3VjJ|13/06/2016
6|52506|375615795715545|442|deposit|ZQ9LMl9pphecPfvwyzj|03/01/2019
7|44229|124316753795559|372|atm|g4S8NdlvJjqcqEpruZY|14/09/2016
8|20430|821396282271143|358|atm|W0JVDCBCw5aPaNPGiYP|05/01/2011
9|40757|691677634237776|254|deposit|CmgldzMSKhSK5PtLkpV|14/10/2011
10|3495|515955582852348|195|charge|OZmHh1p93mAXCYOpUbC|13/05/2018
11|5956|849464154114315|93|deposit|XuidiLP5YAUrfR8FKyR|13/12/2016
12|62044|145762598263398|159|deposit|xlNRiOpeX7ORQj8aE2c|27/01/2011
13|44788|796449767962593|399|deposit|Ee0LBHjzD1zwq1vdg59|07/04/2016
14|56685|391742957899658|188|charge|RUj4Oy5MIXLPn3SThRd|04/02/2016
15|38905|584265849171839|312|withdrawal|Cgkx9f69XiaKIJkPcqT|16/03/2014
16|71167|237628687959988|418|atm|akbfQtDUhlVqE9R8VHi|25/06/2011
17|84213|813591792289915|332|charge|mfJnvOTGn5IbNnaLxpO|13/05/2018
18|86166|686272956883778|483|charge|VGnhVgdyPiyvwr8RmDb|02/02/2014
19|5068|129345654296771|309|transfer|ONQV3ExUkyfDK41uDGq|01/08/2015
20|2144|121464488453382|53|transfer|hL1CMSY04sgMKFefq0r|03/02/2018
21|56981|556732211779333|444|charge|PhKQZTP1RqTya1YH2JH|18/09/2016
22|58514|172427499524777|443|transfer|pTFavdohqUUheGx0MSG|09/06/2015
23|59163|273352216492442|370|deposit|ao3u8jO6Uvmnr53jK38|17/08/2014
24|23124|499188979285956|173|transfer|KHJKeJ2bPWoZ3EFxYj5|31/10/2014
25|99554|458739589221335|328|deposit|ODMEItdcWakQe884kmq|28/09/2014
26|73091|825217387821272|11|atm|qcPe3GJNpvAbgNO5WSQ|16/04/2011
27|36979|572465884717149|161|withdrawal|yewP0U1muCt3k9BUmcH|04/02/2016
28|84275|232364551547812|125|atm|iwioRs5FMkhyCs5oQDU|16/10/2011
29|92696|156686872941447|278|transfer|OCNdm08UYkDTVhd41qH|15/06/2016
30|3064|862927496566716|99|deposit|Rg5ODFH8XeowFhfpr7t|08/08/2017
31|77930|896783176348845|464|atm|MYkCmyoDz0Tig2M6xg3|25/07/2014
32|95027|595957431234245|407|withdrawal|pDZfaHoNnlRWDZvAzDj|21/08/2010
33|83998|152139829548585|103|transfer|BnLySlGJMT8qu2DTJm0|18/06/2013
34|87720|313283711925715|275|deposit|dM4b21UhKfRffo4QGRl|27/02/2012
35|73341|957434872289142|35|atm|B5VTqW1KZTNcGO6BLUR|24/04/2012
36|40677|417833877277469|224|atm|aYEMsrrh7EH4x4FqtxA|28/05/2011
37|98363|663463752743461|341|deposit|dM4b21UhKfRffo4QGRl|24/01/2013
38|62058|689391687475348|164|transfer|Cgkx9f69XiaKIJkPcqT|06/11/2017
39|97307|766627367541149|94|deposit|w4kB9zGZ3fxmuRV1gSo|17/08/2013
40|37152|823454487995513|306|atm|xVAgQnddFXMnixYczqL|31/12/2013
